path,orig,res,norm_orig,norm_res,status,denorm_res,word_diff
4334,kanske skyndar vi för fort ändå,"Hur kan vi vara så säkra på att ingen man ingår i besättningen, åtminstone som frekvent gäst?",kanske skyndar vi för fort ändå,hur kan vi vara så säkra på att ingen man ingår i besättningen åtminstone som frekvent gäst,hard_mismatch,"Hur kan vi vara så säkra på att ingen man ingår i besättningen, åtminstone som frekvent gäst?",16
1569,den femtonde mars nittonhundra nittionio fördes femhundra femtiosju kronor och femtiosju öre in på kontot,Den 15 mars 1999 fördes 557 kronor och 57 öre in på kontot.,den femtonde mars nittonhundra nittionio fördes femhundra femtiosju kronor och femtiosju öre in på kontot,den femton mars nittonhundra niohundranittionio fördes femhundrafemtiosju kronor och femtiosju öre in på kontot,hard_mismatch,Den femton mars nittonhundra niohundranittionio fördes femhundrafemtiosju kronor och femtiosju öre in på kontot.,4
4522,det civila samhället bygger på nätverken mellan människorna,Detta är gemenskapens och samhörighetens hemhort.,det civila samhället bygger på nätverken mellan människorna,detta är gemenskapens och samhörighetens hemhort,hard_mismatch,Detta är gemenskapens och samhörighetens hemhort.,8
5277,det gällde både konst arkitektur litteratur musik filosofi och vetenskap,"Musiken har blivit enklare, tyngre, mörkare, mognare.",det gällde både konst arkitektur litteratur musik filosofi och vetenskap,musiken har blivit enklare tyngre mörkare mognare,hard_mismatch,"Musiken har blivit enklare, tyngre, mörkare, mognare.",10
4435,vi har sett växande maktapparater,Samhället har förlorat den mänskliga skalan och det personliga ansvaret.,vi har sett växande maktapparater,samhället har förlorat den mänskliga skalan och det personliga ansvaret,hard_mismatch,Samhället har förlorat den mänskliga skalan och det personliga ansvaret.,9
4585,det är inte många som skulle ha råd utan ekonomiskt stöd att låta skogen stå även om det skulle vara en så kallad gammelskog,Det måste till ekonomisk stöd från något håll för att kunna rädda de gamla skogarna.,det är inte många som skulle ha råd utan ekonomiskt stöd att låta skogen stå även om det skulle vara en så kallad gammelskog,det måste till ekonomisk stöd från något håll för att kunna rädda de gamla skogarna,hard_mismatch,Det måste till ekonomisk stöd från något håll för att kunna rädda de gamla skogarna.,22
4568,slutligen vill jag ge greenpeace några tips och råd som förhoppningsvis är konstruktiva och till nytta för miljön,Det har nu kommit in över 100 järnvägsvagnar med ryskt virke.,slutligen vill jag ge greenpeace några tips och råd som förhoppningsvis är konstruktiva och till nytta för miljön,det har nu kommit in över etthundra järnvägsvagnar med ryskt virke,hard_mismatch,Det har nu kommit in över etthundra järnvägsvagnar med ryskt virke.,18
4156,huset var nämligen stort alldeles för stort egentligen och uppfört i två våningar med ett tredje vindsplan och i ena hörnan sköt ett torn upp ett riktigt trätorn med runda fönster,Det förblev förstås oklart vad det var för fiskeflottor som förväntades komma farande över åkrarna här i Marielund. Men vad spelade det för roll om man bara hade virke och fantasi?,huset var nämligen stort alldeles för stort egentligen och uppfört i två våningar med ett tredje vindsplan och i ena hörnan sköt ett torn upp ett riktigt trätorn med runda fönster,det förblev förstås oklart vad det var för fiskeflottor som förväntades komma farande över åkrarna här i marielund men vad spelade det för roll om man bara hade virke och fantasi,hard_mismatch,Det förblev förstås oklart vad det var för fiskeflottor som förväntades komma farande över åkrarna här i Marielund. Men vad spelade det för roll om man bara hade virke och fantasi?,31
5008,likheterna beror på en gemensam historisk bakgrund,Wall Street Journals möjligheter att ta betalt av sina användare.,likheterna beror på en gemensam historisk bakgrund,wall street journals möjligheter att ta betalt av sina användare,hard_mismatch,Wall Street Journals möjligheter att ta betalt av sina användare.,10
4230,höjningen av fastighetsskatten i många kommuner ligger runt femtio procent,Resultatet skulle bli 3-4 gånger högre fastighetsskatt i storstäderna.,höjningen av fastighetsskatten i många kommuner ligger runt femtio procent,resultatet skulle bli trefyra gånger högre fastighetsskatt i storstäderna,hard_mismatch,Resultatet skulle bli tre-fyra gånger högre fastighetsskatt i storstäderna.,10
