l̬um	liom	avec moi
flⁱuĉ	fliuch	mouillé, humide
qilā́n	cuileán	jeune chien
qiŝlán	caisleán	château
tᵘeršạĉ	tuirseach	fatigué
bon-āt̬	bunáit	principale résidence, fondation
múⁱnt̬óⁱr	múinteóir	professeur
drifⁱúr	deirbhshiur	sœur
emedạ̄́n	amadán	un fou
màonteĉạ̄́n	manntachán	qui a les dents ébréchées
O’ Sùleƀáⁱn	O’ Súilleabháin	nom propre
clieƀạ̄́n	cliabhán	berceau
baləƀạ̄́n	balbhán	muet
begạ̄́n	beagán	un peu, peu
qịlạ̄́n	cuileán	jeune chien
berạ̄́ne/brā́n	biorán	épingle, un rien
bredạ̄́n	bradán	saumon
qišlạ̄́n	caisleán	château
pǫrtạ̄́n	portán	crabe
erạ̄́n	arán	pain
cupạ̄́n	cupán	coupe
ẹlạ̄́n	oileán	île
scạ̄hạ̄́n	scáthán	mirroir, à côté de
scehā́n	scathán	buisson
mọ̄rā́n	mórán	beaucoup
awrā́n	abhrán	poème, chant
bǫĉtā́n	bochtán	un pauvre
capelī́n	capaillín	petit cheval
laneƀī́n	leanbhín	petit enfant
cąlī́n	cailín	fillette
gertī́n	guirtin	petit champ
trehī́n	troighthín	petit pied
ạyntī́n	aintín	tante
spalpī́n	spailpín	journalier, laboureur errant
crūšcī́n	crúiscin	cruche
cábī́n	cáibín	vieux chapeau
drōlī́n	dreoilín	roitelet
bǭrhī́n	bóithrín	petit sentier
trāʰnī́n	tráithnín	brin d’herbe
crīƀī́n	craoibhin	petite branche
fįn̬ọ̄́g	fuinneóg	fenêtre
fwīn̬šọ̄́g	fuinnseóg	frêne
cesọ̄́g	casóg	veston
fwišọ́g	fuiseóg	alouette
išó̦g	an fhuiseóg	l’alouette
qīnlọ̄́ir	coinnleóir	chandelier
dlīdǫ́ir	dligheadóir	homme de loi
múⁱntǭ́ⁱr	múinteóir	professeur
āęršoⁱr	aidhbheirseóir	l’adversaire (le diable)
slānehǭ́ⁱr	slánuightheóir	le sauveur
šc̬ebǭl	sgioból	grenier
mįnạ̄́l	muineál	cou
cahī́r	cathaoir	siège
enạ̄́l	anál	haleine
cimā́d	coimeád	garder, protéger
lęhẹ̄́d	leithéid	espèce, sorte, de cette sorte
mecā́ntoeĉt	macántacht	honnêteté
lùescā́noeĉ	luascạ̄́nach	instable, remuant
slā́her	soláthar	provisions, aller aux provisions
felā́ⁱn	folláin	sain, salubre
crṓⁱn	coróin	couronne (pièce de monnaie), règne d’un roi
ūlṓⁱd	umhlóid	humilité
begā́nī̀n	beagáinín	un petit peu
calī́nī	cailínidhe	fillettes
rǫhā́nīn	rotháinín	petite roue
mərcáĉ	marcách	cavalier
márcig	márcaigh	[de cavalier]
Mw̄n	Mumhan	Munster
Tuə-mūn	Tuath-mhumhan	Thomond, Nord-Munster
Dąs-vw̄n	Deas-mhumhan	Desmond, Sud-Munster
ur-vw̄n	Ur-mhumhan	Ormond, Est-Munster	Urmhumhan
Ervūn	Or-mhumhan	Ormond, Est-Munster
Iar-vūn	Iar-mhumhan	Ouest-Munster
rᵘí	[rí]	roi
nī́nān	naoidheanán	petit enfant	naíonán
ūmpọ/ōmpọ	iompodh	action de tourner	iompú
pārdún	[pardún]
cābọ̄g̬īn	cábóigín	vieux-chapeau, rustre
qīnšī́ᵉs	coinsías	conscience			Henebry (Sounds, p. 14) : kawnšīs
pᵉlẹ̄́r	peiléar	pilier
pālā́s	pálás	palais
sọ̄lā́s	sólás	satisfaction, consolation
bagū́n	[bagún]	lard		OFr: bacōn
garsū́n	garsún	garçon
cabáštẹ	cabáiste	choux
